"unit","category","article","vocabulary","translation","id"
1,"SUSTANTIVOS","el ","amor","love",1
1,"SUSTANTIVOS","","Carlos","Charles",2
1,"SUSTANTIVOS","la ","casa","the house",3
1,"SUSTANTIVOS","en ","casa","at home",4
1,"SUSTANTIVOS","la ","cocina","the kitchen, the cooking",5
1,"SUSTANTIVOS","el ","cuaderno","the notebook",6
1,"SUSTANTIVOS","el ","diccionario","the dictionary",7
1,"SUSTANTIVOS","la ","escuela","the school",8
1,"SUSTANTIVOS","el ","español","Spanish, the Spanish language",9
1,"SUSTANTIVOS","el ","examen","the test",10
1,"SUSTANTIVOS","mi ","examen de espanol","my Spanish test",11
1,"SUSTANTIVOS","la ","frase","the sentence",12
1,"SUSTANTIVOS","la ","gramática","the grammar",13
1,"SUSTANTIVOS","el ","hermano","the brother",14
1,"SUSTANTIVOS","el ","hermano de Pepita","Josie's brother",15
1,"SUSTANTIVOS","el ","lápiz","the pencil",16
1,"SUSTANTIVOS","la ","lección","the lesson",17
1,"SUSTANTIVOS","la ","lección de español","the Spanish lesson",18
1,"SUSTANTIVOS","el ","libro","the book",19
1,"SUSTANTIVOS","el ","libro de gramática","the grammar textbook",20
1,"SUSTANTIVOS","la ","madre","the mother",21
1,"SUSTANTIVOS","la ","muchacha","the girl",22
1,"SUSTANTIVOS","la ","noche","the night, the evening",23
1,"SUSTANTIVOS","esta ","noche","tonight, this evening",24
1,"SUSTANTIVOS","el ","padre","the father",25
1,"SUSTANTIVOS","el ","padre de Pepita","Josie's father",26
1,"SUSTANTIVOS","el ","papel","the paper",27
1,"SUSTANTIVOS","el ","papel de vocabulario","the vocabulary paper",28
1,"SUSTANTIVOS","la ","pasión","the passion",29
1,"SUSTANTIVOS","","Pepita","Josie",30
1,"SUSTANTIVOS","el ","periódico","the newspaper",31
1,"SUSTANTIVOS","el ","programa","the program",32
1,"SUSTANTIVOS","mi ","programa favorito","my favorite program",33
1,"SUSTANTIVOS","la ","radio","the radio",34
1,"SUSTANTIVOS","la ","sala","the living room",35
1,"SUSTANTIVOS","la ","televisión","the television",36
1,"SUSTANTIVOS","la ","voz","the voice",37
1,"ADJETIVOS","","estudioso,a","studious",38
1,"ADJETIVOS","","fácil","easy",39
1,"ADJETIVOS","","favorito,a","favorite",40
1,"ADJETIVOS","","importante","important",41
1,"ADJETIVOS","","interesante","interesting",42
1,"ADJETIVOS","","mi","my",43
1,"ADJETIVOS","","necesario,a","necessary",44
1,"ADJETIVOS","","posible","possible",45
1,"ADJETIVOS","","su","her",46
1,"VERBOS","","copia","(she) copies",47
1,"VERBOS","","entra","(he) enters",48
1,"VERBOS","","es","(it) is, (she) is",49
1,"VERBOS","","no es","(it) is not",50
1,"VERBOS","","escucha","(she) listens to, is listening to",51
1,"VERBOS","","estudia","(she) studies, is studying",52
1,"VERBOS","","estudiar","to study",53
1,"VERBOS","","habla","speaks",54
1,"VERBOS","","hay","there are, there is",55
1,"VERBOS","","lee","(he) reads, is reading",56
1,"VERBOS","","mirar","to look at, to watch",57
1,"VERBOS","","necesito","I need",58
1,"VERBOS","","pone la televisión","(he) turns on the television program",59
1,"VERBOS","","quiero","I want",60
1,"OTRAS","","ay, papá!","Oh, daddy",61
1,"OTRAS","","con","with",62
1,"OTRAS","","de","of, in, from",63
1,"OTRAS","","ella","she",64
1,"OTRAS","","entra","in, into",65
1,"OTRAS","","mañana","tomorrow",66
1,"OTRAS","","muy","very",67
1,"OTRAS","","no","not, no",68
1,"OTRAS","","por favor","please",69
1,"OTRAS","","si","yes, yes indeed",70
1,"OTRAS","","también","also, too",71
1,"OTRAS","","y","and",72
1,"OTRAS","","yo","I",73
1,"SUSTANTIVOS","","sustantivos","nouns",74
1,"SUSTANTIVOS","","adjetivos","adjectives",75
1,"SUSTANTIVOS","","verbos","verbs",76
1,"ADJETIVOS","","otras","other",77
1,"SUSTANTIVOS","","palabras","words",78
2,"SUSTANTIVOS","el ","aire","the air",79
2,"SUSTANTIVOS","la ","aldea","the town",80
2,"SUSTANTIVOS","el ","año","the year",81
2,"SUSTANTIVOS","la ","avenida","the avenue",82
2,"SUSTANTIVOS","la ","calle","the street",83
2,"SUSTANTIVOS","el ","cine","the movie theater",84
2,"SUSTANTIVOS","la ","ciudad","the city",85
2,"SUSTANTIVOS","la ","cosa","the thing",86
2,"SUSTANTIVOS","el ","dinero","the money",87
2,"SUSTANTIVOS","el ","edificio","the building",88
2,"SUSTANTIVOS","la ","experiencia","the experience",89
2,"SUSTANTIVOS","la ","flor","the flower",90
2,"SUSTANTIVOS","","Francisco","Frank",91
2,"SUSTANTIVOS","","Paco","Frankie",92
2,"SUSTANTIVOS","el ","hombre","the man",93
2,"SUSTANTIVOS","","Maria","Mary, Marie",94
2,"SUSTANTIVOS","la ","mujer","the woman",95
2,"SUSTANTIVOS","el ","museo","the museum",96
2,"SUSTANTIVOS","","Nueva York","New York",97
2,"SUSTANTIVOS","la ","oficina","the office",98
2,"SUSTANTIVOS","el ","parque","the park",99
2,"SUSTANTIVOS","el ","primo","the cousin",100
2,"SUSTANTIVOS","la ","prisa","the hurry",101
2,"SUSTANTIVOS","de ","prisa","in a hurry, in a rush",102
2,"SUSTANTIVOS","el ","restaurante","the restaurant",103
2,"SUSTANTIVOS","el ","teatro","the theater",104
2,"SUSTANTIVOS","la ","tienda","the store",105
2,"ADJETIVOS","","alto,a","tall, high",106
2,"ADJETIVOS","","estos,as","these",107
2,"ADJETIVOS","","extraño,a","strange",108
2,"ADJETIVOS","","fresco,a","fresh",109
2,"ADJETIVOS","","grande","big, large",110
2,"ADJETIVOS","","mucho,a","much, a great deal of",111
2,"ADJETIVOS","","muchos,as","many, a great many",112
2,"ADJETIVOS","","nuevo,a","new",113
2,"ADJETIVOS","","pequeño,a","small, little",114
2,"ADJETIVOS","","rapido,a","fast, rapid",115
2,"ADJETIVOS","","sustantivos","their",116
2,"ADJETIVOS","","tanto,a","so much",117
2,"ADJETIVOS","","todo,as","every, all",118
2,"ADJETIVOS","","tonto,a","foolish",119
